id,title,description,priority,reporter,comments,labels
BUG-1042,Checkout fails on mobile Safari,"Users on iOS Safari 17+ cannot complete checkout. The 'Pay' button is unresponsive after entering card details. Reproduced on iPhone 14 and 15. Works fine on Chrome and desktop Safari.",P3,jane.doe@acme.com,"[CSM, May 20]: Two enterprise accounts (Northwind, $84k ARR) reported this today — they're escalating.","checkout,mobile,payments"
BUG-1043,Password reset email never arrives,"Users who request a password reset don't receive the email. Confirmed the request hits our backend but Resend shows no send event. Started after the email-template refactor on Monday.",P2,support@acme.com,"[Support, May 21]: 14 tickets in 2 days about this. Users locked out.","auth,email"
BUG-1044,Invoice totals off by one cent on multi-line orders,"On orders with 3+ line items, the invoice total is occasionally 1 cent higher than the sum of line items due to a rounding error in tax calculation. Finance flagged it during the monthly audit.",P3,finance@acme.com,"[Finance, May 18]: This affects audited statements — accounting is not happy.","billing,finance"
BUG-1045,Dashboard chart colors slightly off-brand,"The bar chart on the analytics dashboard uses #4A90D9 instead of our brand blue #3B82F6. Noticed during a design review.",P1,designer@acme.com,,"ui,cosmetic"
BUG-1046,Export to CSV times out for large accounts,"Accounts with more than 10,000 records get a 504 when exporting to CSV. The export endpoint doesn't paginate or stream — it loads everything into memory.",P2,poweruser@bigco.com,"[Customer, May 19]: We can't get our quarterly data out. This is blocking our board report.","export,performance"
BUG-1047,Login button misaligned by 2px on Firefox,"The login button is shifted 2px to the right on Firefox compared to Chrome. Purely visual.",P2,qa@acme.com,,"ui,firefox,cosmetic"
BUG-1048,Webhook retries cause duplicate Slack notifications,"When our webhook endpoint returns a 500, the upstream retries, and users get the same Slack notification 3-4 times. Need idempotency keys.",P3,devops@acme.com,,"webhooks,integrations"
BUG-1049,Search returns deleted records,"The global search still surfaces records that were soft-deleted. Clicking them throws a 404. The search index isn't being updated on delete.",P3,user@acme.com,,"search"
BUG-1050,Checkout broken on iOS Safari,"Mobile checkout doesn't work on iPhone. The pay button does nothing. Several customers complaining.",P2,sales@acme.com,"[Sales, May 20]: Losing deals over this.","checkout,mobile"
BUG-1051,Session expires after 5 minutes instead of 24 hours,"Users are being logged out every 5 minutes. The session TTL config was likely changed. Affecting everyone since this morning.",P1,oncall@acme.com,"[On-call, May 22]: Site-wide. Support queue is flooded.","auth,critical"
BUG-1052,Typo in onboarding welcome screen,"The welcome screen says 'Wlecome to Acme' instead of 'Welcome to Acme'.",P3,intern@acme.com,,"ui,copy"
BUG-1053,API rate limit headers missing,"Our public API doesn't return X-RateLimit-* headers, so integrators can't tell how close they are to the limit. Feature request from a partner.",P3,partner@integrator.com,,"api"
BUG-1054,Profile photo upload fails silently,"When a user uploads a profile photo over 5MB, nothing happens — no error, no upload. Should show a size-limit message.",P4,user2@acme.com,,"upload,ux"
BUG-1055,Admin panel accessible without auth on staging,"The /admin route on staging.acme.com loads without any authentication. Anyone with the URL can view all customer data. Found during a pen test.",P3,security@acme.com,"[Security, May 22]: Confirmed exploitable. Staging has a copy of prod data.","security,admin,critical"
BUG-1056,Notification preferences don't save,"Toggling email notification preferences in settings appears to work but reverts on page reload. The PATCH request returns 200 but the value isn't persisted.",P2,user3@acme.com,,"settings,notifications"
BUG-1057,Dark mode flickers on page load,"There's a brief flash of light theme before dark mode applies on initial page load. Minor but noticeable.",P3,user4@acme.com,,"ui,dark-mode"
BUG-1058,Billing page shows wrong currency for EU customers,"EU customers see prices in USD instead of EUR on the billing page, even though their account locale is set to a European country. Could cause confusion at checkout.",P2,eu.customer@acme.eu,,"billing,i18n"
BUG-1059,Report generation occasionally produces blank PDF,"Sometimes the generated PDF report is completely blank. Happens maybe 1 in 20 times. No pattern identified yet — can't reliably reproduce.",P2,manager@acme.com,,"reports,pdf"
